Observation_Day,C_obs,C_pred,C_resid,D_obs,D_pred,D_resid
524.0,0.12158306265617175,0.1217642382645911,0.00018117560841934832,0.0017706886763358915,0.0017711563145437785,4.6763820788701775e-7
525.0,0.12164053901850955,0.12189156633537808,0.0002510273168685323,0.0017721116101515047,0.0017733794193217243,1.2678091702196526e-6
526.0,0.12167578203997839,0.12201547767519813,0.0003396956352197389,0.0017728484865917327,0.0017755419620151662,2.693475423433487e-6
527.0,0.12201543125985874,0.12213617967230915,0.00012074841245041101,0.0017758468114174887,0.0017776435401927874,1.7967287752986612e-6
528.0,0.12214052238797057,0.12225387289004296,0.00011335050207238184,0.0017776000691545834,0.0017796839170788445,2.0838479242611327e-6
529.0,0.12228088464506784,0.12236875160563954,8.786696057169752e-5,0.0017799123366049547,0.0017816629944608577,1.7506578559030143e-6
530.0,0.12239456689312235,0.12248100379660386,8.643690348150712e-5,0.0017832663948846139,0.0017835808073397399,3.144124551259994e-7
531.0,0.12253439555003875,0.1225908111407059,5.64155906671443e-5,0.0017866458626966948,0.0017854375239297995,-1.2083387668953335e-6
532.0,0.12261954289318373,0.12269834901598067,7.880612279693999e-5,0.0017876368344611397,0.0017872334456587376,-4.0338880240211455e-7
533.0,0.12262520921891377,0.12280378697374018,0.00017857775482640892,0.0017879417488501997,0.0017889689941672268,1.0272453170271246e-6
534.0,0.122971058364705,0.12290728910381125,-6.376926089374235e-5,0.0017928203790751585,0.0017906446909455598,-2.175688129598752e-6
535.0,0.12311375829878506,0.12300901396255025,-0.00010474433623480772,0.00179452281774741,0.0017922611685689208,-2.2616491784891064e-6
536.0,0.1232365117499141,0.1231091160006565,-0.00012739574925760278,0.0017994268575047905,0.0017938191441415963,-5.607713363194175e-6
537.0,0.12338607225774799,0.12320774559787306,-0.00017832665987492502,0.0018035432017570996,0.0017953194185176085,-8.223783239491187e-6
538.0,0.12355918740213677,0.12330504906298673,-0.00025413833915004236,0.0018079898699308904,0.0017967628763007142,-1.1226993630176216e-5
539.0,0.12361181054378204,0.12340116863382802,-0.00021064190995401244,0.0018112168805484413,0.0017981504858444063,-1.3066394704035027e-5
540.0,0.12364730766057509,0.12349624368964442,-0.00015106397093067603,0.0018116742521320313,0.0017994832814991978,-1.219097063283347e-5
541.0,0.1236764015751979,0.12359041110140627,-8.599047379162506e-5,0.0018120808046507778,0.0018007623556367933,-1.1318449013984593e-5
542.0,0.12418362666139911,0.12368380532186589,-0.0004998213395332185,0.001814469300698414,0.0018019888629312265,-1.248043776718756e-5
543.0,0.12431372346739801,0.12377655998893254,-0.0005371634784654689,0.001819271702326108,0.001803164000181573,-1.610770214453502e-5
544.0,0.12445535620111635,0.12386880792878605,-0.0005865482723303034,0.0018225495320085023,0.0018042890062694309,-1.8260525739071396e-5
545.0,0.12464849405705339,0.12396068115587672,-0.0006878129011766709,0.0018245822946022353,0.001805365162158921,-1.921713244331432e-5
546.0,0.12471339000285832,0.12405231087292534,-0.000661079129932976,0.0018271740669092446,0.0018063937908966868,-2.0780276012557835e-5
547.0,0.12475437557865446,0.12414382879820304,-0.0006105467804514153,0.0018271740669092446,0.0018073762448573632,-1.9797822051881428e-5
548.0,0.12508833306327236,0.12423536778747107,-0.0008529652758012818,0.0018272757050389313,0.0018083138984219867,-1.8961806616944526e-5
549.0,0.12527730375589224,0.12432706153914942,-0.0009502422167428221,0.001831366639758819,0.001809208153512272,-2.215848624654692e-5
550.0,0.12539545808165298,0.12441904655706221,-0.0009764115245907701,0.0018332469451580217,0.0018100604224939906,-2.3186522664031105e-5
551.0,0.12553500723371275,0.12451146216153404,-0.0010235450721787082,0.0018356100316732362,0.0018108721280749856,-2.473790359825063e-5
552.0,0.1257455252098262,0.12460445048939003,-0.0011410747204361749,0.0018377698419290774,0.0018116447033051724,-2.6125138623904996e-5
553.0,0.12582630211339466,0.12469815649395585,-0.0011281456194388029,0.0018404886618981953,0.0018123795915765376,-2.8109070321657688e-5
554.0,0.12587158190017006,0.12479272934779197,-0.0010788525523780929,0.0018412001288060018,0.0018130782402792983,-2.8121888526703477e-5
555.0,0.1261876510739631,0.12488832321965558,-0.0012993278543075165,0.0018418353671165433,0.0018137420917662128,-2.8093275350330512e-5
556.0,0.12637054888833424,0.12498509637694522,-0.0013854525113890237,0.0018446304156829261,0.0018143725896556885,-3.025782602723761e-5
557.0,0.1264919302247125,0.1250832150565199,-0.0014087151681926036,0.0018455959779149491,0.0018149711665297347,-3.062481138521437e-5
558.0,0.12662068032549306,0.1251828535554814,-0.0014378267700116687,0.0018499918270238967,0.001815539243594481,-3.4452583429415594e-5
559.0,0.1266790206119332,0.12528419423117435,-0.0013948263807588568,0.0018527106469930143,0.0018160782306801757,-3.663241631283857e-5
560.0,0.12692767829621157,0.1253874275011862,-0.0015402507950253719,0.0018538794854844108,0.0018165895262411867,-3.728995924322416e-5
561.0,0.12700111184491017,0.12549275593959544,-0.0015083559053147289,0.0018562933910644685,0.0018170745153573945,-3.9218875707074064e-5
562.0,0.1271642156335248,0.12560039325720915,-0.0015638223763156656,0.0018566491245183719,0.0018175345623028935,-3.9114562215478415e-5
563.0,0.12727901590100588,0.12571056351550902,-0.0015684523854968546,0.0018595204016820196,0.0018179710132437167,-4.154938843830289e-5
564.0,0.12741551590917505,0.1258235197514098,-0.0015919961577652575,0.0018610195640948975,0.0018183851951459917,-4.2634368948905876e-5
565.0,0.1275490430020509,0.1259395445142013,-0.001609498487849581,0.001863611336401907,0.0018187784156685918,-4.4832920733315186e-5
566.0,0.12769436011797036,0.12605894986554841,-0.0016354102524219483,0.0018672957186030479,0.0018191519631631356,-4.814375543991229e-5
567.0,0.1277680477619932,0.12618207744625834,-0.001585970315734847,0.0018707260054799722,0.0018195071066814763,-5.1218898798495926e-5
568.0,0.1278181553599287,0.12630932848172155,-0.0015088268782071368,0.0018714374723877787,0.0018198450986774844,-5.159237371029431e-5
569.0,0.12807796782894018,0.12644115881304704,-0.001636809015893137,0.0018718186153741036,0.0018201671736213531,-5.165144175275048e-5
570.0,0.12819721476459503,0.12657812817043973,-0.0016190865941553,0.001875172673653763,0.0018204745569166058,-5.469811673715721e-5
571.0,0.12831374288028077,0.12672093759455716,-0.0015928052857236141,0.0018771037981178092,0.0018207684698463963,-5.6335328271412896e-5
572.0,0.12836743322228775,0.1268704314579093,-0.0014970017643784472,0.0018810422756431668,0.001821050129892357,-5.999214575080989e-5
573.0,0.12836992335646508,0.12702766561425807,-0.0013422577422070037,0.001881321780499805,0.0018213207622521242,-6.0001018247680775e-5
574.0,0.12842645956610327,0.12719396613997846,-0.0012324934261248033,0.0018821094760048764,0.0018215816106456027,-6.052786535927371e-5
